# Gene Family	C1_Abundance-RPKs
K01770|g__Prevotella.s__Prevotella_nigrescens	5.305
K01775	40.17
K01775|g__Fusobacterium.s__Fusobacterium_nucleatum	40.17
K01776	18.793
K01776|g__Filifactor.s__Filifactor_alocis	2.967
K01776|g__Fusobacterium.s__Fusobacterium_nucleatum	15.825
K01783	27.221
K01783|g__Filifactor.s__Filifactor_alocis	3.571
K01783|g__Fusobacterium.s__Fusobacterium_nucleatum	23.649
K01784	14.341
K01784|g__Prevotella.s__Prevotella_nigrescens	4.264
K01784|unclassified	10.077
K01785	3.364
K01785|g__Fusobacterium.s__Fusobacterium_nucleatum	3.364
K01790	12.186
K01790|g__Fusobacterium.s__Fusobacterium_nucleatum	10.105
K01790|unclassified	2.081
K01791	9.694
