Genus	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
Poseidonibacter	7	9	60	33	27	11	2	0	1	7	1	28	10	1	6	4	6
Youhaiella	1	15	11	4	21	17	15	4	46	26	4	2	9	0	3	14	21
Pseudopedobacter	2	12	23	94	17	22	0	0	0	0	0	15	6	2	0	7	12
Thioclava	14	17	1	22	4	5	1	22	27	14	72	0	6	0	1	3	3
Alloyangia	25	3	4	6	12	1	13	34	19	48	2	6	7	0	4	16	11
Cobetia	10	11	12	4	13	7	17	26	12	63	0	0	16	0	5	5	10
Gymnodinialimonas	59	8	5	11	6	4	22	43	12	5	24	1	3	0	5	1	2
Silicimonas	35	40	5	7	8	19	22	9	3	24	2	11	13	0	7	6	0
Chloracidobacterium	20	22	11	8	8	44	10	12	23	31	0	0	7	0	4	0	10
Kyrpidia	23	15	0	7	2	8	2	44	29	69	0	1	0	3	2	2	3
Methylobacter	16	5	6	8	1	3	10	49	23	4	55	20	6	0	0	0	4
Paraflavitalea	4	32	8	13	11	32	12	5	4	23	8	4	15	1	12	6	20
Babesia	2	13	21	18	26	36	0	2	8	7	10	27	10	5	10	4	9
Candidatus_Prometheoarchaeum	2	16	20	6	2	4	2	2	0	0	52	4	12	0	40	42	4
Kaustia	6	21	1	17	1	14	2	16	22	48	5	12	15	0	2	10	16
Kineococcus	33	22	12	3	1	22	7	3	6	13	7	10	16	0	10	28	15
Saccharospirillum	29	1	1	0	1	1	8	24	33	102	0	0	2	0	2	0	4
Candidatus_Nanopelagicus	2	6	16	14	24	58	4	1	2	2	2	32	10	0	12	2	20
Halomarina	22	11	25	13	0	8	24	6	3	79	2	2	6	0	1	0	5
Paraneptunicella	3	13	12	19	3	13	4	18	0	0	66	10	7	6	16	17	0
Malacoplasma	8	19	19	13	24	31	0	1	0	5	9	7	54	0	7	7	2
Mangrovibacillus	2	7	6	10	13	39	1	0	0	0	14	25	40	21	11	13	4
Marinitoga	2	14	21	16	13	28	0	0	1	1	12	27	38	6	5	18	4
Nisaea	10	13	7	13	6	16	10	18	38	8	3	6	22	0	4	20	12
Pimelobacter	7	5	11	16	3	13	41	41	17	15	3	10	2	0	1	5	16
Brevirhabdus	3	26	5	10	7	15	20	15	36	31	6	8	7	0	3	5	8
Hippea	2	4	9	1	12	1	1	4	129	1	1	15	4	2	0	17	2
Pseudoroseomonas	8	35	1	4	4	17	4	10	18	47	4	10	13	0	10	18	2
Ectobacillus	2	21	7	5	23	36	0	2	1	0	8	27	14	11	13	28	6
Anthocerotibacter	10	11	9	2	12	14	12	1	3	12	16	26	15	4	35	21	0
Snodgrassella	4	15	0	17	15	18	0	1	4	17	25	27	17	3	11	18	11
Aurantimonas	33	12	0	0	8	4	14	34	1	78	7	0	4	1	3	0	3
Cacepaovirus	0	1	0	0	7	175	0	0	0	0	4	3	4	0	7	0	0
Desulfurobacterium	4	7	25	24	30	81	6	0	0	0	10	3	7	0	2	1	1
Spongiibacter	16	32	11	11	11	36	5	10	7	46	0	1	6	2	3	1	3
Sulfidibacter	10	6	6	3	7	11	12	23	46	15	30	0	12	0	1	0	19
Undibacterium	8	11	5	59	10	14	9	5	26	5	7	10	10	3	14	2	3
Candidatus_Fokinia	2	6	22	0	2	2	6	30	60	0	4	2	48	10	2	0	4
Filimonas	26	20	9	21	46	11	3	5	2	3	5	3	14	0	5	9	18
Methyloversatilis	4	29	2	13	9	18	4	3	33	53	2	3	10	0	2	6	9
Paracholeplasma	1	20	0	33	5	11	0	85	0	5	1	21	13	2	3	0	0
Theileria	5	15	18	29	10	6	4	4	7	3	19	9	24	3	20	20	4
Ustilago	50	6	3	59	11	7	7	6	1	23	3	8	8	0	3	0	5
Wenzhouxiangella	24	15	2	6	2	13	33	12	26	29	0	2	13	5	0	2	16
Actinocatenispora	7	25	11	9	3	9	15	19	9	24	3	10	17	1	16	14	7
Pseudorhizobium	12	21	2	0	34	2	1	18	4	6	78	5	0	0	8	2	6
Saliniradius	9	12	10	1	5	16	0	19	1	31	20	21	34	0	6	1	13
Serpentinimonas	13	4	8	3	15	3	14	42	11	50	0	0	4	0	2	0	30
Candidatus_Arcticimaribacter	2	20	10	8	8	0	0	8	12	0	0	0	16	0	14	2	98
Haloarcula	12	23	23	85	12	3	1	5	13	6	2	0	3	0	7	1	2
Mesoflavibacter	0	4	3	144	11	3	0	0	0	0	1	0	8	1	23	0	0
Stieleria	33	38	2	1	15	9	9	15	9	19	0	8	20	1	8	2	9
Thiomonas	5	6	13	7	5	13	4	9	31	25	5	15	8	0	15	25	12
Lederbergia	37	13	12	5	11	22	0	11	1	0	7	6	38	3	20	8	3
Paraglaciecola	6	21	12	9	4	9	46	7	4	9	15	4	15	11	7	10	8
Parvicella	1	7	16	7	61	2	1	3	1	40	2	4	20	25	2	3	2
Rummeliibacillus	4	7	3	11	24	18	0	1	1	0	1	21	90	1	12	2	1
Sporisorium	45	5	11	4	10	11	4	5	39	27	21	2	1	0	0	0	12
Enhydrobacter	9	17	5	15	8	0	14	19	31	55	1	2	7	0	8	3	2
Kangiella	2	27	6	6	15	1	3	12	0	1	0	1	8	83	7	3	21
Methanocella	4	23	3	2	6	13	12	45	3	10	8	6	11	4	17	10	19
Methylomarinovum	56	8	8	5	0	16	12	9	3	23	0	5	2	1	12	32	4
Microterricola	15	13	3	8	7	6	25	5	15	50	3	13	13	4	5	5	6
Desulfomonile	5	12	2	6	6	8	1	25	49	31	5	1	11	2	6	11	14
Stakelama	38	7	5	10	2	3	5	48	13	48	1	0	5	0	0	0	10
Aminobacter	16	22	10	4	14	34	9	4	6	7	9	5	14	0	19	6	15
Amylolactobacillus	5	32	2	74	5	33	1	4	1	2	2	6	8	0	0	0	18
Cnuibacter	21	9	3	9	1	2	7	11	38	3	32	4	1	0	0	2	50
Candidatus_Endolissoclinum	0	8	20	44	40	22	0	4	0	0	4	2	8	0	12	4	24
Desulfosudis	16	17	5	1	15	12	23	25	9	45	1	1	7	0	5	2	8
Halalkalibacter	2	4	8	2	10	9	1	2	0	0	13	21	18	21	30	3	48
Syntrophothermus	19	15	9	2	14	7	11	11	7	20	17	1	24	3	14	8	10
Thermogutta	19	14	3	12	8	6	0	5	18	15	50	11	6	0	4	1	20
Congregibacter	13	8	0	9	28	5	14	24	8	51	0	4	9	0	1	0	17
Kazachstania	37	48	13	16	2	10	11	11	22	3	0	1	1	1	7	0	8
Thiocystis	24	7	0	6	3	6	72	16	5	30	1	10	1	0	8	1	1
Candidatus_Annandia	6	22	14	0	4	8	30	34	40	14	0	2	2	0	10	4	0
Egicoccus	15	25	5	5	7	8	0	12	15	13	17	19	16	6	20	3	4
Kozakia	22	13	1	5	2	1	2	4	9	18	46	6	1	0	2	4	54
Marinilactibacillus	5	8	13	20	10	18	1	4	0	4	6	56	10	16	17	1	1
Thermodesulfovibrio	39	14	17	0	2	5	1	29	4	42	0	1	3	23	5	4	1
Alkalilimnicola	17	18	8	13	11	9	3	16	20	38	0	8	1	0	2	0	25
Allofrancisella	8	5	4	4	31	25	40	8	22	1	1	0	13	9	13	4	1
Desulfohalobium	21	24	4	9	11	20	2	13	24	29	0	0	2	0	2	7	21
Lichenihabitans	8	11	14	15	1	15	1	4	8	2	6	45	16	0	3	38	2
Laceyella	5	20	0	41	12	19	9	1	4	3	21	2	10	12	10	9	10
Rubrivivax	13	11	10	33	12	29	13	7	11	5	4	7	4	0	9	10	10
Thiolapillus	41	19	1	7	7	30	1	14	15	8	6	6	5	18	4	5	1
Trichoderma	10	22	19	16	12	20	4	2	9	7	1	14	35	3	8	3	3
Uruburuella	32	39	18	6	21	6	4	2	1	18	0	2	16	0	6	4	13
Ascochyta	10	15	20	16	6	12	11	3	15	8	12	8	25	5	4	8	9
Phycisphaera	12	18	5	18	18	9	20	8	8	46	0	3	12	0	3	0	7
Castellaniella	11	23	4	9	3	9	7	11	53	20	6	4	6	0	0	8	12
Naasia	21	18	10	9	18	23	7	13	7	13	6	6	4	4	6	7	14
Oceanotoga	5	18	19	3	27	2	1	0	0	0	30	33	8	1	33	4	2
Paludisphaera	3	16	1	18	11	16	3	8	6	9	4	14	40	0	9	24	4
Planctopirus	29	6	2	3	4	9	2	35	12	71	3	0	1	0	1	1	7
Ahniella	10	20	12	27	6	7	18	9	6	1	5	7	2	0	3	47	5
Catellatospora	16	9	0	2	0	9	4	11	8	24	47	10	11	0	4	14	16
Methanothermus	3	30	7	6	38	31	0	1	0	2	6	4	22	1	31	3	0
Nitrosococcus	15	28	15	0	6	9	6	26	24	12	17	16	2	0	8	1	0
Nitrospina	26	12	2	27	11	8	11	31	27	11	0	0	0	0	1	3	15
Oceanispirochaeta	15	12	5	5	35	34	0	2	4	3	6	8	21	0	15	1	19
Paracrocinitomix	10	38	17	36	21	12	1	7	9	0	1	9	4	0	7	2	11
Halothermothrix	7	18	24	26	4	27	4	2	2	3	11	2	12	20	7	7	8
Frateuria	18	40	1	15	25	6	6	3	4	4	5	21	4	0	17	5	9
Fuscovulum	8	19	3	1	10	10	29	23	28	6	0	11	7	0	22	1	5
Raineyella	5	13	6	16	1	3	7	3	9	46	22	14	7	0	15	8	8
Zobellella	19	34	15	5	7	12	15	6	30	11	0	0	9	0	8	0	12
Candidatus_Kuenenia	16	22	4	6	6	16	0	0	6	24	20	2	0	0	8	28	24
Fervidobacterium	6	12	13	18	21	42	1	5	2	11	0	3	40	1	6	1	0
Hydrogenimonas	7	33	19	2	3	2	6	15	17	42	4	3	5	0	15	2	7
Anseongella	17	15	20	11	27	16	3	19	14	2	0	2	8	6	9	5	7
Ideonella	22	17	10	5	16	3	7	6	39	10	3	0	0	1	2	1	39
Methylophilus	3	23	15	11	24	37	0	3	5	5	3	4	21	0	17	7	3
Sulfurifustis	19	18	6	27	5	4	5	25	29	13	5	1	5	0	8	6	5
Candidatus_Cytomitobacter	10	60	2	0	0	16	64	8	2	2	0	0	2	0	12	0	2
Methylogaea	15	13	5	11	12	15	3	2	4	60	0	9	0	1	1	25	4
Gemmobacter	13	13	6	2	10	6	5	19	7	27	11	2	9	0	30	12	7
Phnomibacter	4	28	17	18	27	10	6	5	21	4	4	0	5	0	21	0	9
Salinimicrobium	6	11	11	66	27	9	0	5	5	1	1	24	4	0	9	0	0
Acaryochloris	3	9	3	4	5	6	0	2	7	21	8	11	8	1	5	2	83
Cognatishimia	15	15	12	1	11	3	5	10	52	27	6	2	11	0	4	0	4
Dictyostelium	17	25	12	26	10	15	2	1	0	6	6	11	11	15	13	7	0
Epidermidibacterium	3	6	4	22	8	18	3	34	9	53	1	0	1	0	3	8	4
Methanococcoides	3	7	11	17	8	22	0	0	1	0	9	20	15	20	22	7	15
Sedimenticola	32	11	5	33	8	6	19	3	5	3	0	12	19	3	4	6	8
Glaciecola	12	16	7	22	0	1	25	25	9	49	2	4	1	0	2	0	1
Halobellus	79	3	12	0	0	0	20	42	2	6	0	0	7	0	0	2	3
Methylacidiphilum	2	25	1	4	13	2	7	49	9	2	4	6	1	6	5	28	12
Taylorella	3	13	2	23	7	7	5	2	4	4	18	20	9	5	20	19	15
Caldanaerobacter	5	13	16	3	4	27	2	0	2	4	2	25	19	2	28	10	13
Entomospira	5	17	24	22	20	45	0	0	0	0	5	7	6	9	4	4	7
Halalkaliarchaeum	77	5	0	1	2	1	6	4	34	24	0	2	7	4	5	0	3
Immundisolibacter	3	30	4	0	13	6	7	4	12	13	6	2	37	1	4	18	15
Siansivirga	0	30	1	108	12	5	0	0	0	1	0	6	7	1	4	0	0
Thermodesulfatator	4	46	58	1	1	9	0	2	4	12	0	3	8	0	20	1	6
Truepera	12	30	11	0	2	5	17	18	45	14	0	1	5	0	1	5	9
Neptunomonas	3	3	7	9	51	36	1	9	2	3	3	1	14	3	20	3	6
Pseudothauera	7	38	8	2	15	5	25	6	30	10	0	1	2	0	0	0	25
Rosistilla	19	17	11	25	4	1	5	13	27	11	1	8	11	5	3	5	8
Zymoseptoria	16	23	15	14	29	13	3	6	11	8	1	11	20	0	0	1	3
Chthonomonas	17	14	44	12	23	9	2	4	5	6	0	8	13	0	5	0	11
Ereboglobus	29	6	4	4	5	13	17	12	31	19	1	8	14	0	2	1	7
Natronosporangium	28	29	2	4	8	8	14	32	10	9	2	1	0	0	6	11	9
Novacetimonas	56	7	2	4	4	2	11	10	25	29	0	1	6	0	5	0	11
Occallatibacter	7	10	0	23	3	5	12	16	60	9	2	0	2	0	6	3	15
Sinimarinibacterium	7	12	6	12	34	6	4	0	8	23	5	13	14	23	4	1	1
Terasakiella	12	23	7	15	15	2	0	2	7	7	2	0	6	0	5	0	70
Silvimonas	5	10	6	7	22	18	0	7	8	21	6	3	13	4	14	13	15
Singulisphaera	7	20	0	3	7	5	2	0	10	22	8	4	41	0	29	0	14
Arcticibacterium	25	48	6	2	9	9	8	0	21	0	4	21	4	3	2	7	2
Caldithrix	8	8	0	9	11	6	6	33	24	24	2	1	10	0	17	8	4
Nitratifractor	16	31	9	3	1	7	0	15	18	36	0	10	14	0	3	0	8
Nodularia	21	13	2	5	3	1	0	0	29	0	11	7	7	26	1	1	44
Agarivorans	4	18	10	9	11	43	4	1	0	2	23	5	5	2	7	9	17
Barrientosiimonas	39	2	3	6	8	0	27	5	5	41	3	16	6	4	0	2	3
Moellerella	15	47	13	14	11	4	8	36	3	3	2	4	4	0	1	3	2
Paraoerskovia	22	11	13	5	9	19	19	12	11	28	4	7	5	0	3	1	1
Solimonas	13	19	9	2	5	8	32	7	11	7	7	1	12	0	25	11	1
Thermosulfuriphilus	7	4	14	1	1	60	3	1	3	1	5	8	18	39	4	1	0
Limnoglobus	6	17	12	4	4	6	10	4	26	38	3	10	3	0	9	8	9
Nicoliella	0	5	3	2	8	9	8	2	0	0	20	19	26	57	1	3	5
Obesumbacterium	0	15	8	4	7	9	0	0	3	8	47	18	24	2	10	2	11
Sediminicoccus	6	46	10	3	6	17	15	23	19	8	0	0	2	0	6	4	2
Thermanaeromonas	11	23	6	5	8	12	5	0	11	16	3	35	9	0	3	7	13
Frigoriglobus	13	21	8	7	4	22	7	7	41	17	1	2	4	0	0	0	12
Fundicoccus	9	17	10	1	38	23	1	5	0	10	3	5	26	3	7	2	6
Alkalimarinus	19	7	1	4	14	23	1	2	25	2	6	1	8	12	1	12	27
Kaistia	15	9	8	2	1	9	16	9	35	12	24	2	15	0	5	2	1
Rheinheimera	28	16	14	4	0	1	3	14	15	18	1	13	7	1	14	5	11
Salinivibrio	2	54	5	18	13	7	1	2	6	19	4	3	2	0	13	14	2
Aminobacterium	11	12	8	20	10	21	19	8	7	10	11	6	4	3	8	1	5
Belliella	4	17	12	56	10	16	1	2	2	0	7	7	9	0	13	2	6
Besnoitia	1	29	12	18	6	21	5	1	10	11	2	3	7	0	17	6	15
Candidatus_Karelsulcia	2	8	14	74	6	10	0	0	0	6	2	4	28	2	2	4	2
Seonamhaeicola	5	5	8	7	40	18	1	6	12	0	3	21	11	1	5	12	9
Limihaloglobus	13	45	5	0	5	10	6	3	11	3	21	4	3	26	2	0	6
Mangrovimonas	2	37	19	40	10	18	0	0	0	3	0	0	4	0	24	1	5
Rhodocytophaga	17	12	7	11	34	1	2	28	10	5	0	4	17	6	6	0	3
Mariluticola	5	19	6	0	8	1	10	23	23	23	2	3	8	0	4	2	25
Parvularcula	5	32	2	1	7	10	11	6	27	5	8	5	14	17	4	7	1
Musicola	8	14	2	8	21	12	4	19	10	18	0	5	2	1	27	8	2
Paradesulfovibrio_(ex_Waite_et_al._2020)	16	17	4	16	2	13	6	0	30	13	0	1	12	3	10	5	12
Vulgatibacter	18	15	12	1	4	6	5	35	11	17	0	7	13	0	3	11	2
Alloacidobacterium	0	14	6	6	3	12	8	9	27	19	0	0	35	1	9	4	6
Cytophaga	2	13	16	14	18	28	0	0	0	5	2	5	25	17	3	3	8
Halodesulfurarchaeum	17	7	1	7	0	5	3	9	26	24	0	0	7	0	1	3	49
Duffyella	4	24	41	0	5	4	4	0	6	38	7	4	3	0	7	7	4
Nesterenkonia	6	5	13	3	0	0	4	5	10	25	51	0	8	2	1	6	19
Naumovozyma	2	15	18	27	12	18	3	0	1	10	1	4	2	26	10	1	7
Secundilactobacillus	5	7	13	18	13	17	4	1	6	1	1	13	28	4	18	5	3
Aquisalimonas	4	9	0	9	3	9	13	13	1	54	1	4	6	6	7	5	12
Allobacillus	2	21	7	1	55	13	0	5	0	25	1	5	15	0	1	2	2
Sphingomicrobium	9	15	4	7	0	11	5	4	2	16	49	0	8	0	5	2	18
Borreliella	9	9	16	6	4	11	12	0	8	3	1	22	15	9	5	12	12
Candidatus_Fukatsuia	6	22	38	12	22	26	4	2	4	2	0	0	2	0	0	14	0
Salinivirga	7	9	21	11	39	7	4	19	12	0	1	6	6	3	3	5	1
Beutenbergia	19	5	2	1	8	5	15	12	5	35	7	9	15	0	6	2	7
Halarcobacter	11	16	20	6	2	18	0	0	0	0	13	5	34	1	19	6	2
Halohasta	0	1	2	8	0	10	5	0	3	1	10	20	26	0	6	56	5
Polymorphobacter	1	10	5	17	6	22	6	7	41	5	1	16	12	0	1	0	3
Toxoplasma	4	15	14	3	3	10	1	20	13	2	2	6	9	6	13	23	9
Debaryomyces	10	4	58	42	1	6	5	7	0	0	1	4	9	3	0	0	2
Neoasaia	1	5	7	1	2	6	5	0	8	3	0	30	25	0	2	36	21
Auraticoccus	18	13	5	5	5	9	6	32	15	15	4	9	4	4	3	0	4
Fulvia	4	3	7	17	6	19	1	3	3	7	4	12	12	2	10	35	6
Gloeothece	15	13	10	12	29	27	0	3	0	6	2	1	8	7	9	4	5
Nitrosophilus	1	23	27	2	8	14	0	10	5	1	2	3	22	2	9	10	12
Pararhodospirillum	14	6	18	5	1	5	2	5	6	4	3	12	23	0	20	24	3
Allocoleopsis	1	5	31	9	17	6	1	19	21	13	0	0	17	0	0	2	8
Aureibaculum	10	7	4	16	7	15	2	9	18	1	0	32	7	1	7	1	13
Candidatus_Absconditicoccus	4	18	24	8	24	6	0	0	0	0	0	6	30	0	10	20	0
Gloeomargarita	42	11	0	23	4	6	2	4	24	9	1	2	1	1	1	0	19
Melioribacter	29	13	1	4	4	27	3	8	5	12	9	6	3	10	13	0	3
Methanofollis	21	14	4	3	4	16	22	9	12	12	2	4	6	0	5	10	6
Sulfurimicrobium	4	14	2	18	4	13	19	26	20	2	0	12	0	0	0	1	15
Thermosynechococcus	12	17	6	0	4	4	0	8	9	5	7	2	8	18	38	7	5
Acidimicrobium	4	9	8	4	5	6	6	1	5	27	0	0	68	0	0	0	6
Rubinisphaera	6	44	0	5	1	4	0	8	47	1	9	0	6	1	10	2	5
Acidisoma	50	9	1	0	1	0	7	7	8	38	0	0	5	0	11	1	9
Algibacter	15	5	17	4	58	13	2	1	4	0	2	4	8	3	6	1	4
Dictyoglomus	4	35	20	10	3	5	0	1	1	0	3	4	14	1	33	5	8
Pseudobdellovibrio	1	1	24	40	2	32	0	15	6	0	0	0	3	2	15	2	4
Anaerobacillus	2	33	32	4	8	9	0	1	1	1	5	9	14	4	11	3	9
Leadbetterella	0	5	3	10	40	3	1	3	4	0	16	10	13	3	10	9	16
Defluviicoccus	31	13	0	9	6	0	3	12	6	4	0	0	3	1	2	1	54
Pelagovum	6	14	3	10	5	6	7	6	39	17	0	9	1	1	12	1	8
Aquiflexum	14	11	5	64	4	5	1	9	7	3	0	4	8	0	1	1	7
Friedmanniella	22	13	6	10	10	5	10	5	16	10	1	5	8	1	2	18	2
Halosimplex	7	12	4	7	9	11	5	8	10	7	0	5	27	0	17	4	11
Methanococcus	9	12	10	29	6	20	0	8	3	13	1	4	13	0	5	3	8
Pseudemcibacter	5	4	1	38	2	4	1	0	0	0	37	8	7	11	8	12	6
Spiractinospora	5	15	5	6	10	9	15	3	2	9	21	7	19	0	0	10	8
Syntrophomonas	13	2	3	4	5	3	0	20	1	47	1	5	8	1	11	1	19
Moorena	1	16	6	7	6	4	1	2	1	0	0	12	36	34	3	11	3
Oceanisphaera	7	15	5	1	4	11	11	10	14	11	0	1	5	0	44	2	2
Thalassolituus	13	22	6	2	14	7	11	3	5	2	0	8	9	0	29	4	8
Birpovirus	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	127	11
Haloprofundus	9	31	8	12	3	8	2	9	3	10	2	4	15	2	6	11	7
Labrys	10	7	2	2	3	13	24	13	6	17	5	0	3	4	13	6	14
Natranaerobius	6	16	2	9	6	10	1	4	1	0	0	1	24	0	5	3	54
Nitratiruptor	0	4	3	8	6	0	75	3	2	0	3	4	12	8	7	7	0
Oceanicola	18	14	5	1	7	12	5	3	4	33	0	7	1	3	19	4	6
Petrotoga	6	8	2	2	20	1	0	0	3	0	2	5	79	5	8	0	1
Polymorphum	7	19	4	5	3	3	11	12	14	26	1	8	0	2	25	0	2
Ferrigenium	10	17	4	3	13	15	16	3	4	46	0	3	0	1	0	0	6
Gallionella	14	13	27	11	2	8	1	3	5	3	1	29	5	1	13	2	3
Miniimonas	17	11	1	10	9	13	8	2	6	4	3	17	13	0	3	21	2
Desulfotalea	35	4	9	6	16	7	0	30	2	3	0	5	2	2	2	0	16
Elusimicrobium	35	11	5	11	4	8	15	32	5	7	0	1	0	0	1	2	2
Natronomonas	14	13	3	8	1	7	10	9	14	30	6	0	1	3	1	17	2
Sideroxydans	2	8	11	4	5	3	13	0	21	23	3	14	0	1	13	5	13
Candidatus_Fonsibacter	0	6	0	2	0	2	0	0	0	0	18	18	14	42	6	30	0
Deefgea	3	28	14	7	6	22	0	2	7	11	0	21	10	0	1	6	0
Haloglomus	49	3	20	1	3	18	1	3	15	7	0	0	2	0	6	0	10
Mesotoga	12	14	12	9	7	15	6	8	7	5	0	0	6	1	1	3	32
Chimaeribacter	2	22	29	2	23	3	4	3	5	29	0	0	6	0	5	1	3
Crenobacter	37	13	4	6	11	3	10	6	6	9	0	2	5	0	16	6	3
Denitrovibrio	5	11	6	6	33	11	1	0	1	2	6	8	9	7	11	8	12
Gibbsiella	11	4	21	0	1	6	20	10	13	28	3	3	6	0	3	5	3
Histophilus	23	18	2	5	23	4	6	10	14	8	2	6	3	3	0	5	5
Ignavibacterium	3	10	16	3	17	29	0	12	2	2	5	9	6	0	7	13	3
Mangrovivirga	4	2	9	15	6	20	1	13	10	3	2	5	4	0	24	18	1
Roseimaritima	35	5	1	2	5	1	11	16	19	26	3	0	6	1	4	0	2
Candidatus_Nitrosocosmicus	0	4	8	18	6	24	0	0	0	2	14	4	14	0	20	22	0
Ewingella	12	7	30	14	8	0	8	6	1	24	4	6	5	0	2	9	0
Viridibacillus	5	3	6	12	21	13	13	0	0	0	16	3	17	11	2	12	2
Oscillatoria	12	11	5	5	8	14	3	1	8	11	4	6	21	0	5	3	18
Prauserella	20	22	2	1	11	2	18	1	9	8	30	0	2	0	2	1	6
Purpureocillium	7	8	4	13	11	31	14	5	11	2	5	3	2	0	2	9	8
Thalassiosira	6	8	15	4	10	12	0	4	4	7	0	12	10	4	20	5	14
Archaeoglobus	8	12	4	18	29	11	1	3	0	5	5	13	4	7	7	4	3
Phycicoccus	8	14	7	7	9	4	3	3	4	22	1	20	14	2	9	0	7
Pichia	4	3	3	4	11	11	0	0	0	6	41	7	3	2	17	22	0
Thermoactinomyces	34	10	1	1	12	2	4	2	2	3	5	11	3	14	7	10	13
Ilumatobacter	11	12	6	3	2	7	3	5	30	34	1	1	0	0	8	2	8
Intrasporangium	6	11	0	2	16	10	2	1	18	7	35	6	6	1	5	4	3
Mucispirillum	1	29	21	6	3	16	1	6	7	3	8	3	8	0	9	11	1
Salipaludibacillus	6	3	9	1	14	8	2	0	0	0	17	2	24	25	15	4	3
Caldisericum	0	9	19	1	0	19	0	1	0	2	5	9	8	15	17	0	27
Candidatus_Nitrosoglobus	12	4	2	34	8	18	0	8	6	2	0	6	8	0	14	4	6
Antarctobacter	14	10	20	16	7	16	2	0	3	14	0	0	8	0	2	10	9
Dinoroseobacter	12	5	8	3	12	18	3	15	1	19	0	10	5	0	1	16	3
Homoserinibacter	11	3	2	6	16	1	26	9	4	28	2	4	0	3	5	9	2
Ignatzschineria	2	8	19	3	10	28	0	0	4	0	1	39	7	0	3	5	2
Kordia	4	26	15	1	29	12	0	9	7	1	0	1	3	0	22	0	1
Nordella	6	5	2	0	1	1	19	11	16	63	1	0	1	1	0	0	4
Porifericola	2	10	5	38	11	10	0	2	2	2	0	16	10	0	20	3	0
Cryptosporidium	2	6	8	5	1	7	4	0	1	4	3	0	56	16	6	3	8
Deferribacter	0	16	33	13	6	36	1	0	1	0	0	0	6	1	8	6	3
Giardia	1	0	2	11	6	78	3	3	0	0	0	23	1	0	0	0	2
Haladaptatus	12	14	1	9	21	11	10	2	19	2	1	1	4	1	10	4	8
Nibricoccus	5	10	0	7	10	3	0	5	13	40	4	3	8	0	3	16	3
Urechidicola	7	25	6	7	54	0	0	0	1	1	1	6	12	4	3	1	2
Ponticoccus	20	4	4	4	1	1	3	4	34	20	0	1	5	0	5	1	22
Pseudalkalibacillus	3	13	5	14	12	19	2	1	4	0	0	0	48	4	2	1	1
Vitreoscilla	14	17	9	14	6	14	4	7	17	17	1	0	3	1	0	0	5
Basilea	0	7	8	2	5	4	2	0	0	0	33	5	8	1	20	26	6
Noviherbaspirillum	2	15	7	7	16	7	4	7	14	12	0	5	4	0	0	4	23
Synechocystis	5	7	9	6	6	18	1	1	6	3	0	19	3	1	19	9	14
Variibacter	9	18	4	14	2	8	0	5	0	0	7	17	5	0	3	30	5
Chryseolinea	11	14	5	1	16	6	9	7	29	3	1	2	11	0	0	0	11
Duganella	7	5	9	2	11	8	11	17	8	15	0	3	9	1	1	11	8
Tenuifilum	6	30	9	10	12	22	0	9	13	3	0	0	0	1	0	3	8
Euzebyella	5	18	15	16	10	6	2	18	13	0	0	0	3	0	19	0	0
Halosolutus	12	18	0	4	14	12	1	3	5	2	0	11	10	11	17	4	1
Natranaeroarchaeum	1	16	1	2	0	16	3	3	4	0	13	7	0	48	1	6	4
Pengzhenrongella	6	6	2	7	4	12	22	6	5	24	7	8	3	0	5	8	0
Rubripirellula	11	7	5	2	20	13	4	30	2	5	0	1	10	1	3	10	1
Candidatus_Vallotia	36	24	6	2	12	0	0	12	10	2	2	6	6	0	2	4	0
Tetrasphaera	25	4	1	1	6	8	10	15	7	26	0	6	8	2	3	0	2
Winkia	6	8	11	0	0	1	4	6	11	53	4	1	3	3	2	3	8
Dolichospermum	0	20	30	12	5	21	1	0	1	0	3	0	8	2	2	0	18
Telluria	2	1	5	7	8	5	16	8	7	3	0	1	7	0	37	1	15
Yoonia	5	1	2	1	0	1	1	3	6	2	0	5	1	21	2	5	67
Candidatus_Thioglobus	4	46	0	4	0	10	2	12	0	0	4	2	16	2	0	16	4
Jinshanibacter	0	4	18	0	1	4	3	11	1	3	14	0	0	0	62	1	0
Williamsoniiplasma	2	3	4	0	6	3	38	7	0	0	0	4	29	0	8	5	13
Xylella	6	44	0	4	8	4	4	4	0	10	4	1	6	0	8	8	11
Acidianus	4	14	8	11	3	13	0	0	0	0	8	7	13	0	19	14	7
Ciceribacter	5	19	5	10	0	2	19	15	19	4	0	4	12	0	3	0	4
Fontisphaera	7	11	9	4	3	17	5	7	13	15	1	2	2	0	6	0	19
Isosphaera	5	20	0	1	2	10	5	8	5	8	0	7	3	3	1	5	38
Candidatus_Viadribacter	30	18	0	2	18	10	0	8	4	4	0	20	2	0	2	2	0
Owenweeksia	9	1	2	25	24	6	2	5	6	2	0	10	11	6	5	2	4
Suicoccus	3	1	7	0	9	4	6	5	0	4	13	1	41	0	16	10	0
Acidibrevibacterium	6	4	0	0	5	10	0	9	7	70	0	0	1	0	6	0	1
Bizionia	5	8	4	2	17	10	0	0	0	0	1	7	17	46	1	0	1
