Genus	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
g__GGB4716	0	0	0	0	0	0	0	0	0.3612	0	0	0	0	0	0	0	0	0
g__GGB3818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35639
g__GGB4249	0	0	0	0	0	0.35619	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB3619	0	0	0.29404	0	0	0	0.00507	0	0.03739	0.0087	0	0	0	0.00272	0	0	0	0
g__Nitrosopumilus	0	0.23649	0.05193	0	0	0	0	0	0	0	0.05688	0	0	0	0	0	0	0
g__GGB9786	0	0.10185	0.00683	0	0	0	0	0.21237	0	0	0.02146	0	0	0	0	0	0	0
g__GGB9819	0	0	0	0	0	0.02165	0	0	0	0	0.31985	0	0	0	0	0	0	0
g__GGB3653	0	0	0.06677	0	0	0	0	0	0	0	0.00485	0	0	0.04314	0	0.2245	0	0
g__GGB4641	0	0	0.33235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Enterocloster	0.03584	0.02018	0.00025	0	0.00093	0	0.01824	0	0.016	0.01498	0.01345	0	0	0	0	0.01217	0	0.19296
g__GGB79916	0.18982	0	0.06984	0	0	0	0	0	0	0	0.05014	0	0	0	0	0	0	0
g__GGB9357	0	0	0.2561	0.04884	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lachnoclostridium	0.0343	0	0	0	0	0	0	0	0	0	0.15871	0	0	0	0	0.0188	0.02698	0.06012
g__Holdemania	0	0.14536	0.00664	0	0	0.00207	0.01492	0	0.02467	0.0097	0.06374	0	0	0	0	0	0	0.03147
g__GGB9759	0	0	0.01448	0	0	0.00535	0	0	0	0	0.04362	0	0.21205	0	0	0	0.01606	0
g__GGB9614	0	0	0.00498	0.05185	0.13426	0.02265	0.06394	0	0	0	0	0	0	0	0	0	0	0.00705
g__GGB4549	0	0	0	0.27984	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB1689	0	0	0	0	0	0	0	0.05165	0.22721	0	0	0	0	0	0	0	0	0
g__GGB9766	0	0.0846	0	0	0	0.00012	0	0	0.01422	0.17237	0	0	0	0	0	0	0	0
g__Citrobacter	0	0	0.10012	0.04821	0	0	0	0	0	0	0	0	0.09392	0	0	0.02529	0	0
g__GGB59744	0	0.00209	0.00139	0	0	0	0	0	0	0	0.25752	0	0	0	0	0	0	0
